model,prompt_family,init_type,condition_type,fact_type,round,hazard,survival_rate
minimax,general_task_aware,FACT_TABLE_ONLY,needed,API_SCHEMA_OR_PARAMETER,5,0.07142858071428548,0.9285714285714286
minimax,general_task_aware,FACT_TABLE_ONLY,needed,API_SCHEMA_OR_PARAMETER,6,-0.0769230653254438,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,AUTH_OR_ACCESS_TOKEN,0,0.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,AUTH_OR_ACCESS_TOKEN,1,0.05000000949999994,0.95
minimax,general_task_aware,FACT_TABLE_ONLY,needed,AUTH_OR_ACCESS_TOKEN,2,0.05263158891966746,0.9
minimax,general_task_aware,FACT_TABLE_ONLY,needed,AUTH_OR_ACCESS_TOKEN,3,0.05555556604938272,0.85
minimax,general_task_aware,FACT_TABLE_ONLY,needed,AUTH_OR_ACCESS_TOKEN,4,1.1764705765138217e-08,0.85
minimax,general_task_aware,FACT_TABLE_ONLY,needed,AUTH_OR_ACCESS_TOKEN,5,-0.05882351695501753,0.9
minimax,general_task_aware,FACT_TABLE_ONLY,needed,AUTH_OR_ACCESS_TOKEN,6,0.05555556604938272,0.85
minimax,general_task_aware,FACT_TABLE_ONLY,needed,COMPLETED_SUBTASK,0,0.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,COMPLETED_SUBTASK,1,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,COMPLETED_SUBTASK,2,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,COMPLETED_SUBTASK,3,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,COMPLETED_SUBTASK,4,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,COMPLETED_SUBTASK,5,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,COMPLETED_SUBTASK,6,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ENVIRONMENT_STATE,0,0.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ENVIRONMENT_STATE,1,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ENVIRONMENT_STATE,2,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ENVIRONMENT_STATE,3,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ENVIRONMENT_STATE,4,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ENVIRONMENT_STATE,5,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ENVIRONMENT_STATE,6,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,EXACT_IDENTIFIER,0,0.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,EXACT_IDENTIFIER,1,0.08333334249999991,0.9166666666666666
minimax,general_task_aware,FACT_TABLE_ONLY,needed,EXACT_IDENTIFIER,2,1.0909090852884162e-08,0.9166666666666666
minimax,general_task_aware,FACT_TABLE_ONLY,needed,EXACT_IDENTIFIER,3,0.0909091008264461,0.8333333333333334
minimax,general_task_aware,FACT_TABLE_ONLY,needed,EXACT_IDENTIFIER,4,1.1999999882661427e-08,0.8333333333333334
minimax,general_task_aware,FACT_TABLE_ONLY,needed,EXACT_IDENTIFIER,5,1.1999999882661427e-08,0.8333333333333334
minimax,general_task_aware,FACT_TABLE_ONLY,needed,EXACT_IDENTIFIER,6,1.1999999882661427e-08,0.8333333333333334
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NARRATIVE_PROGRESS,0,0.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NARRATIVE_PROGRESS,1,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NARRATIVE_PROGRESS,2,0.500000005,0.5
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NARRATIVE_PROGRESS,3,1.9999999656405976e-08,0.5
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NARRATIVE_PROGRESS,4,1.9999999656405976e-08,0.5
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NARRATIVE_PROGRESS,5,1.9999999656405976e-08,0.5
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NARRATIVE_PROGRESS,6,1.9999999656405976e-08,0.5
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,0,0.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,1,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,2,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,3,0.06250000937499989,0.9375
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,4,1.0666666661052204e-08,0.9375
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,5,1.0666666661052204e-08,0.9375
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,6,1.0666666661052204e-08,0.9375
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NUMERIC_OR_DATE_LITERAL,0,0.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NUMERIC_OR_DATE_LITERAL,1,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NUMERIC_OR_DATE_LITERAL,2,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NUMERIC_OR_DATE_LITERAL,3,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NUMERIC_OR_DATE_LITERAL,4,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NUMERIC_OR_DATE_LITERAL,5,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NUMERIC_OR_DATE_LITERAL,6,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,RUNTIME_VARIABLE,0,0.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,RUNTIME_VARIABLE,1,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,RUNTIME_VARIABLE,2,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,RUNTIME_VARIABLE,3,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,RUNTIME_VARIABLE,4,0.06250000937499989,0.9375
minimax,general_task_aware,FACT_TABLE_ONLY,needed,RUNTIME_VARIABLE,5,1.0666666661052204e-08,0.9375
minimax,general_task_aware,FACT_TABLE_ONLY,needed,RUNTIME_VARIABLE,6,1.0666666661052204e-08,0.9375
minimax,general_task_aware,NARRATIVE_HEAVY,needed,ACTION_OUTCOME,0,0.0,1.0
minimax,general_task_aware,NARRATIVE_HEAVY,needed,ACTION_OUTCOME,1,9.999999828202988e-09,1.0
minimax,general_task_aware,NARRATIVE_HEAVY,needed,ACTION_OUTCOME,2,0.25000000749999984,0.75
minimax,general_task_aware,NARRATIVE_HEAVY,needed,ACTION_OUTCOME,3,1.3333333215292953e-08,0.75
minimax,general_task_aware,NARRATIVE_HEAVY,needed,ACTION_OUTCOME,4,0.3333333422222221,0.5
minimax,general_task_aware,NARRATIVE_HEAVY,needed,ACTION_OUTCOME,5,0.5000000099999998,0.25
minimax,general_task_aware,NARRATIVE_HEAVY,needed,ACTION_OUTCOME,6,-0.9999999200000032,0.5
minimax,general_task_aware,NARRATIVE_HEAVY,needed,API_SCHEMA_OR_PARAMETER,0,0.0714285714285714,0.9285714285714286
