candidate_id,case_id,model,generation_type,converged_binary,convergence_round,text_similarity_last,length_change_last,token_jaccard_last
4fab96f_2__minimax__sample_00,4fab96f_2,minimax,sample,False,-1,0.9539765068361256,0.09648768671780379,0.9210526315789473
4fab96f_2__minimax__greedy,4fab96f_2,minimax,greedy,False,-1,0.9182800081516201,0.01685162351006987,0.8456375838926175
4fab96f_2__minimax__sample_02,4fab96f_2,minimax,sample,False,-1,0.793730407523511,0.005448449287510477,0.6176470588235294
4fab96f_2__minimax__sample_04,4fab96f_2,minimax,sample,False,-1,0.9085631349782293,0.08607266435986159,0.8701298701298701
4fab96f_2__minimax__sample_01,4fab96f_2,minimax,sample,True,2,1.0,0.0,1.0
4fab96f_2__minimax__sample_05,4fab96f_2,minimax,sample,False,-1,0.9301143583227446,0.026609442060085836,0.8903225806451613
4fab96f_2__minimax__sample_06,4fab96f_2,minimax,sample,False,-1,0.8655595096876235,0.13959390862944163,0.8363636363636363
4fab96f_2__minimax__sample_07,4fab96f_2,minimax,sample,False,-1,0.6394997843898232,0.021331058020477817,0.6890243902439024
4fab96f_2__minimax__sample_03,4fab96f_2,minimax,sample,False,-1,0.539487613804785,0.37920384351407,0.5300546448087432
50e1ac9_1__minimax__sample_00,50e1ac9_1,minimax,sample,False,-1,0.9758024691358025,0.03824861600402617,0.9458128078817734
50e1ac9_1__minimax__greedy,50e1ac9_1,minimax,greedy,False,-1,0.935388800725459,0.05929038281979458,0.9054054054054054
50e1ac9_1__minimax__sample_02,50e1ac9_1,minimax,sample,False,-1,0.9211479520757871,0.04627109417528579,0.9113300492610837
50e1ac9_1__minimax__sample_01,50e1ac9_1,minimax,sample,True,2,1.0,0.0,1.0
50e1ac9_1__minimax__sample_03,50e1ac9_1,minimax,sample,False,-1,0.9091383812010444,0.029835390946502057,0.8071748878923767
530b157_3__minimax__greedy,530b157_3,minimax,greedy,False,-1,0.7744227353463587,0.17563188593648738,0.6875
530b157_3__minimax__sample_00,530b157_3,minimax,sample,True,2,1.0,0.0,1.0
50e1ac9_1__minimax__sample_04,50e1ac9_1,minimax,sample,False,-1,0.8796567193290423,0.01770956316410862,0.8842975206611571
50e1ac9_1__minimax__sample_07,50e1ac9_1,minimax,sample,True,2,1.0,0.0,1.0
530b157_3__minimax__sample_04,530b157_3,minimax,sample,False,-1,0.7229848644843365,0.05720492396813903,0.7163120567375887
50e1ac9_1__minimax__sample_06,50e1ac9_1,minimax,sample,True,2,1.0,0.0,1.0
530b157_3__minimax__sample_01,530b157_3,minimax,sample,True,2,1.0,0.0,1.0
50e1ac9_1__minimax__sample_05,50e1ac9_1,minimax,sample,True,2,1.0,0.0,1.0
530b157_3__minimax__sample_03,530b157_3,minimax,sample,True,2,0.992548435171386,0.015015015015015015,0.963302752293578
530b157_3__minimax__sample_06,530b157_3,minimax,sample,False,-1,0.7964022894521668,0.21960072595281308,0.6776859504132231
530b157_3__minimax__sample_05,530b157_3,minimax,sample,False,-1,0.7836160529582127,0.05004240882103478,0.6511627906976745
530b157_3__minimax__sample_02,530b157_3,minimax,sample,True,2,1.0,0.0,1.0
530b157_3__minimax__sample_07,530b157_3,minimax,sample,True,1,1.0,0.0,1.0
57c3486_1__minimax__greedy,57c3486_1,minimax,greedy,True,2,1.0,0.0,1.0
57c3486_1__minimax__sample_01,57c3486_1,minimax,sample,True,2,1.0,0.0,1.0
57c3486_1__minimax__sample_00,57c3486_1,minimax,sample,False,-1,0.8614211815954261,0.033776301218161685,0.8235294117647058
57c3486_1__minimax__sample_02,57c3486_1,minimax,sample,True,2,1.0,0.0,1.0
57c3486_1__minimax__sample_03,57c3486_1,minimax,sample,False,-1,0.8435885392202912,0.06805807622504537,0.8148148148148148
57c3486_1__minimax__sample_04,57c3486_1,minimax,sample,False,-1,0.9816961561928005,0.035949670461354104,0.9466666666666667
57c3486_1__minimax__sample_05,57c3486_1,minimax,sample,True,2,1.0,0.0,1.0
57c3486_1__minimax__sample_07,57c3486_1,minimax,sample,False,-1,0.9756602796478508,0.04663487016428193,0.9470588235294117
